country,sessions,activeUsers,screenPageViews
Morocco,45,11,276
United States,29,25,39
France,6,6,11
India,3,2,3
Sweden,3,2,4
Ethiopia,2,1,2
Syria,2,1,2
Vietnam,2,1,2
Brazil,1,1,1
Mexico,1,1,2
United Kingdom,1,1,1
